Charge_Cycles,Fast_Charging_Frequency_%,Avg_Temperature_C,Driving_Aggression_Index,Battery_Degradation_%
910,20.92336735774949,10.0,0.30153252559813126,10.907483261340909
1344,39.90500102147354,31.569693837803985,0.8598104118798157,16.678087690624995
1180,10.929144464699194,29.792333984546,0.5434453221816085,12.75672979525663
1145,34.02640935254527,22.045514657765423,0.1410577559817291,10.168548759932827
1688,49.40564484014795,36.09905035313923,0.26983500044910047,13.612157241310676
2219,13.752809588195861,35.656725873684785,0.32031857356975946,16.00809761931744
516,25.014793731608346,32.7988017965005,0.8859223643900975,13.832356448488076
1288,45.06821319654813,18.03819424972012,0.7667384187060192,12.490753617410382
380,48.79689954897232,23.18893902130023,0.8295873126108672,13.422003342688944
1532,12.988969409077326,32.12824839708657,0.05225218784145247,10.829354867282955
2185,16.913858780222974,26.241308608526595,0.5787822054732636,13.925920711739453
180,34.124836695660896,28.384206931126325,0.9991769305146465,7.529216644839986
1735,4.416655040695954,22.29193407232524,0.7851996390533142,13.493046636379997
819,22.702484963085183,31.343347289024386,0.1207076813899145,11.776221931870488
2441,17.960770900272696,40.533534084977816,0.6788181674073487,17.43889547622844
1565,39.15775222468398,32.26617065309214,0.7453238208951832,14.360093489577931
2483,17.215122896491568,36.79871806327578,0.5142483559214086,17.162285191138594
1265,54.71274822638724,36.14329102695379,0.078753147773442,10.673855172131349
1005,24.80120262732942,27.492666496170745,0.03468623520635694,9.93223920939397
2374,15.500899035612026,28.70107069605496,0.9378096972393504,16.492050996416467
1234,44.90423127262273,40.29492075738703,0.2575139654786186,15.05967158979865
509,49.872607274232465,35.12777324725142,0.37896812701845006,15.767591856721825
71,16.905430511686447,36.72609457553858,0.795277540985505,10.36453939019194
2350,69.28805133306277,31.166223433469824,0.6892607467174432,16.037106239382204
797,37.74946386397393,27.25630601681738,0.9685657000343351,14.63937670305291
524,50.27332706751649,28.10825730100502,0.09283920021116754,9.952532480538716
1132,25.34307723146917,39.64096203379699,0.7069195740792272,13.42060478108626
2097,36.969172696052695,29.994328426950844,0.08222885277766956,12.47058172575159
1025,15.539551129889457,38.73354363770428,0.000165496501144613,8.720354345147443
1856,3.900366027947888,39.835948976442054,0.12023022618774737,13.543942256069354
239,23.640660231780604,36.44426365315665,0.6167258482792373,13.486351478571871
612,20.489770155145738,35.62552675216539,0.6761927495774415,12.770252751592926
1949,11.779244845371004,41.878331741633374,0.43833987240958416,16.498674868774383
1317,66.1549525165087,24.080712961637737,0.04607070973742422,11.295666322212167
1578,10.558014104348686,27.114010232730486,0.6340593910544907,13.72963347562893
696,17.31307598615046,21.1844903141844,0.08581747758649005,7.65287374153498
2118,69.60756386426085,19.51788569861351,0.1417263317663977,9.919706409187606
2264,57.109027570829376,29.68979216901924,0.5125756847708269,16.29798934569583
1347,73.48312627977688,31.88000055874773,0.34037327147484775,13.766063118521098
2485,29.032080865222433,33.537521265990186,0.4647539272763406,14.129985251829186
650,32.43196278421751,25.119026495903462,0.6350769036271925,11.48110222659939
2413,56.41766784511891,27.108639302179927,0.16000703616139678,13.624865072100667
2111,52.66384094932525,35.927173455279416,0.8930867396910078,16.827674257205203
